contact_id,firstname,lastname,contacttype,jobtitle,mosid,commission,school,languagename,gender,environment,shortname
++NQaP1cIJcYJpNqBsUYTaP3B/uCU9p6OykTMZEgbngAAK8/AXiG6A==,Robert,Bell,General Duties,CONST TECH,306,NCM,CFSME,English,Male,Army,Pte(B)
+06ta7k20slq6hPmSZJZlC0eqVexQCTc1q5jvYueNLEAAK8/AXf/bA==,Salome,Clarke,General Duties,IS TECH,394,NCM,CFSCE,French,Male,Army,Pte(B)
+3uD3TD6I23EDdnfi6PSeOhAe/i81+Xh27WkqOwy/KwAAK8/AXj7QQ==,Carole,Oliver,NULL,IMAGE TECH,137,NCM,TAC School,English,Male,Army,Cpl
+55uEO6esUuVy1dkOZPydri+I/DY/Bx0+/aK396WmisAAK8/AXiG8A==,Margaret,Mackie,NULL,INFTR,10,NCM,INF School,English,Male,Army,Sgt
+55yUYtPLxMI32xe6tLxD3Btq6JGqFqvlgsOw6P8aZYAAK8/AXiG+A==,Dwain,Hayes,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
+67SN3If4i1pe1EbvtoYb8Kv+92Db3NXvV1A70tV0asAAK8/AXiG8A==,Nichole,Wright,NULL,INF,180,Officer,INF School,French,Male,Army,2Lt
+6ec1hkBlvnYMy52YKNisTXDjz47wXMQ8R9Fcr9M+lEAAK8/AXj7OA==,Kathleen,Anderson,General Duties,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
+7mNzhuyZXgxmrSTtd/7VsZ8W6gl4dP20bOz3gNKEXcAAK8/AXf/bA==,Ellen,Gantt,General Duties,SIGINT,120,NCM,CFSCE,English,Female,Air,Pte(B)
+8yB5OiuBuo2SOE0YCxyJuM2DbokByxZzmdIS8oCM24AAK8/AXiG7g==,Myron,Wilson,NULL,SIGS,341,Officer,CTCHQ,English,Male,Army,LCol
+A1G5N3TsF3nmWNMyuZp2lQbyO27d1jjx943juvgh2MAAK8/AXjBog==,Billy,Harter,NULL,GNR,368,NCM,RCA School,English,Male,Army,Sgt
+AhAf7wXoQp2wfi7IKYFxN23OdBdXFdgXbcQIGmIJAsAAK8/AXf/eQ==,Lacy,Engel,NULL,CELE,NULL,Officer,CFSCE,English,Male,Air,Lt
+Bim4VrbfN9BDUxfX8F3b/RuO891zAhb3WBgZpwBpDIAAK8/AXiG8w==,Thomas,Espinal,NULL,INF,180,Officer,INF School,English,Male,Army,2Lt
+bV+Xe3ExgzFK84Bjm/CAx+eDF2KBzVla4pV/LKY/GQAAK8/AXjBiA==,Rachel,Ashby,General Duties,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
+clk5dQXPzKqQ0g5xFVNdKeRwIuQGi5w2h9IFmkkkaQAAK8/AXiG5Q==,Alethea,Neace,Student,CBT ENGR,339,NCM,CFSME,English,Male,Army,Pte(R)
+cZSU4VHv2sqUGLam3rSs12UsR5FfjbdUsav5zsVG+4AAK8/AXj7Ng==,Melissa,Connor,NULL,VEH TECH,129,NCM,RCEMES,French,Female,Army,MCpl
+dnk30+Ez7aKzsP1ZRFJW6BJ/tNDhX3Hq0tkBxQFPGoAAK8/AXf/bA==,Dan,Flores,NULL,SIGS,341,Officer,CFSCE,French,Male,Army,2Lt
+dpdwQEQt+PWhkGwNLeIWHz3MyCCdVouUYItesjUfRoAAK8/AXiG9w==,Tanya,Hershberger,Admin,INFTR,10,NCM,INF School,English,Female,Army,MCpl
+DSyrB63Xc8se1a4sRNk4oCRA170iSyoAPgCrNyRsdoAAK8/AXf/aw==,Clarence,Burdock,NULL,ATIS TECH,109,NCM,CFSCE,French,Male,Army,Cpl
+dXBr6Rv8cdGQVf/g3JnQqk1x88xoYXD4lsqaCk4fNcAAK8/AXf/eQ==,Rick,Wilson,General Duties,SIG OP,383,NCM,CFSCE,French,Male,Army,Pte(B)
+e+44ECdAcMNjc0Hnfb/JsyOckPXj4XhWDyE1J0nQegAAK8/AXj7Pg==,John,Terranova,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Sgt
+FAgC0rxIv7togNAyXvia15vh44YLCiOgInq6bU8qsEAAK8/AXiG+Q==,Lonnie,Broyles,NULL,INF,180,Officer,INF School,English,Female,Army,2Lt
+FfEqr/xpjV9L6hFcy/TnpNFbAEcaBn1Du+g+lg7AWEAAK8/AXf/YA==,Thomas,Hand,NULL,INFTR,10,NCM,CAAWC,English,Female,Army,Cpl
+FRfr+4ayFZAU07FHuiXF1Dby5cEOMCi6s92TMihNkkAAK8/AXiG+Q==,Nancy,Saling,NULL,INFTR,10,NCM,INF School,English,Male,Army,Cpl
+FTob9K9MetuUtITgHud+ei8jPDW+JYfVPHkGdehnoYAAK8/AXj7PQ==,Michael,White,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,MCpl
+geIZyr7XoOwxa1rsB3mIrU9xz5dsCc82UXnGHqyKFQAAK8/AXiG9w==,Debbra,Meadows,NULL,INF,180,Officer,INF School,English,Male,Army,2Lt
+GySBCh16RjlKa7U4cn3P22CmYxsHsps3zJTsKtYMTgAAK8/AXiG8A==,James,Quick,NULL,INFTR,10,NCM,INF School,French,Male,Army,Pte
+HhOm7CUrnanysO+L9a4RyKcQGPBk+Zul+UYxQ9fhSsAAK8/AXiG2w==,Brandon,Rico,NULL,ENGR,181,Officer,CFSME,English,Male,Army,Lt
+HO6fB1Tt/kkjHnJ5kuDzwXNJQESBztecVj7z2BDXvAAAK8/AXjBkg==,Anthony,Faught,NULL,ARMD,178,Officer,RCACS,English,Male,Army,2Lt
+J0+LOQguJQeCuLEtazr+f/diWI1oCISQKEqEz81XmwAAK8/AXj7OQ==,Sylvia,Williams,NULL,MSE OP,171,NCM,RCEMES,English,Male,Army,MCpl
+jSMlqSh7n6XHlnms/llaO7QohkmG9VKOKsZ9w8lqzwAAK8/AXj7OA==,Phillip,Foster,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,WO
